patternID,endDate,actualReturn,mean,variance,median,upside,downside,#searchResults
SP500,2011-05-06,-0.0018131,0.0041852,0.0003242,0.0049733,0.0213042,-0.0144026,600
SP500,2003-03-11,0.0820751,0.0006756,0.0005284,0.0000440,0.0228481,-0.0200710,600
SP500,2005-06-16,-0.0084478,0.0015488,0.0002019,0.0026147,0.0141419,-0.0131137,600
SP500,2005-11-02,0.0048487,0.0016133,0.0003043,0.0023968,0.0162060,-0.0152030,600
SP500,2007-09-28,0.0201997,0.0005861,0.0002387,0.0021499,0.0148732,-0.0167610,600
SP500,2007-07-11,0.0180476,0.0009345,0.0002567,0.0017353,0.0153054,-0.0166986,600
SP500,2006-02-28,-0.0037325,0.0008607,0.0002249,0.0018346,0.0149254,-0.0152854,600
SP500,2006-05-01,0.0149174,0.0012314,0.0002189,0.0026698,0.0149254,-0.0158692,600
SP500,2007-03-19,0.0252770,0.0023546,0.0003008,0.0040650,0.0175234,-0.0172908,600
SP500,2001-01-19,0.0092436,0.0010656,0.0002653,0.0026239,0.0147352,-0.0158967,600
SP500,2000-11-01,-0.0084012,0.0010286,0.0004009,0.0012317,0.0191233,-0.0173889,600
SP500,2011-11-02,-0.0071089,0.0024790,0.0005485,0.0034907,0.0233260,-0.0198695,600
SP500,2006-01-11,-0.0070624,0.0012032,0.0003074,0.0023266,0.0167148,-0.0170381,600
SP500,2007-06-18,-0.0217563,0.0009436,0.0002545,0.0037060,0.0142298,-0.0166247,600
SP500,2002-03-12,0.0040410,0.0016919,0.0002982,0.0026239,0.0167550,-0.0157127,600
SP500,2008-10-31,-0.0389781,0.0005571,0.0004317,0.0031119,0.0180522,-0.0215164,600
SP500,2004-01-13,0.0235458,0.0011267,0.0002603,0.0022836,0.0156031,-0.0165389,600
SP500,2007-10-12,-0.0391664,0.0012287,0.0002021,0.0032953,0.0141337,-0.0149237,600
SP500,2003-06-13,0.0071616,0.0005271,0.0002707,0.0017362,0.0145349,-0.0157307,600
SP500,2010-07-08,0.0245083,0.0024425,0.0007967,0.0052105,0.0272096,-0.0276056,600
SP500,2001-06-19,0.0034472,0.0014695,0.0008331,0.0029347,0.0262553,-0.0241850,600
SP500,2003-03-18,0.0095678,0.0006831,0.0004480,0.0012314,0.0194147,-0.0196464,600
SP500,2007-12-27,-0.0437860,-0.0005091,0.0003232,0.0010955,0.0147720,-0.0195841,600
SP500,2005-08-09,-0.0097777,0.0020043,0.0002837,0.0030020,0.0180900,-0.0164507,600
SP500,2004-08-31,0.0108944,0.0007490,0.0001874,0.0020058,0.0133080,-0.0135726,600
SP500,2005-07-08,0.0132524,0.0025769,0.0002130,0.0035299,0.0155153,-0.0124866,600
SP500,2004-02-20,0.0007254,0.0017109,0.0002322,0.0028512,0.0153291,-0.0138081,600
SP500,2002-09-03,0.0359445,0.0015237,0.0012668,0.0030507,0.0314634,-0.0261990,600
SP500,2009-04-02,0.0265826,0.0008514,0.0004224,0.0026501,0.0185139,-0.0202312,600
SP500,2000-11-03,-0.0425530,0.0014294,0.0003539,0.0021352,0.0195893,-0.0170381,600
